title,year,ids.trakt,ids.slug,ids.imdb,ids.tmdb,watchers,certification,poster_url
Harry Potter and the Prisoner of Azkaban,2004,547,harry-potter-and-the-prisoner-of-azkaban-2004,tt0304141,673,77,PG,https://walter-r2.trakt.tv/images/movies/000/000/547/posters/thumb/0046b97675.jpg.webp
Spider-Man: No Way Home,2021,474180,spider-man-no-way-home-2021,tt10872600,634649,77,PG-13,https://walter-r2.trakt.tv/images/movies/000/474/180/posters/thumb/9ce30fb23f.jpg.webp
The Lord of the Rings: The Two Towers,2002,89,the-lord-of-the-rings-the-two-towers-2002,tt0167261,121,76,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/089/posters/thumb/20019dee8d.jpg.webp
Zootopia,2016,167397,zootopia-2016,tt2948356,269149,76,PG,https://walter-r2.trakt.tv/images/movies/000/167/397/posters/thumb/da66787e21.jpg.webp
The Super Mario Bros. Movie,2023,349425,the-super-mario-bros-movie-2023,tt6718170,502356,76,PG,https://walter-r2.trakt.tv/images/movies/000/349/425/posters/thumb/727d878335.jpg.webp
Arrival,2016,210803,arrival-2016,tt2543164,329865,75,PG-13,https://walter-r2.trakt.tv/images/movies/000/210/803/posters/thumb/fc306afd42.jpg.webp
Up,2009,8476,up-2009,tt1049413,14160,75,PG,https://walter-r2.trakt.tv/images/movies/000/008/476/posters/thumb/71f5f3f7f8.jpg.webp
How to Train Your Dragon,2010,5405,how-to-train-your-dragon-2010,tt0892769,10191,75,PG,https://walter-r2.trakt.tv/images/movies/000/005/405/posters/thumb/c81a9c5043.jpg.webp
Fight Club,1999,432,fight-club-1999,tt0137523,550,74,R,https://walter-r2.trakt.tv/images/movies/000/000/432/posters/thumb/7eb46b87e2.jpg.webp
"Monsters, Inc.",2001,464,monsters-inc-2001,tt0198781,585,74,G,https://walter-r2.trakt.tv/images/movies/000/000/464/posters/thumb/ff36df49f2.jpg.webp
Den of Thieves 2: Pantera,2025,449452,den-of-thieves-2-pantera-2025,tt8008948,604685,74,R,https://walter-r2.trakt.tv/images/movies/000/449/452/posters/thumb/d9e50b630b.jpg.webp
Finding Nemo,2003,8,finding-nemo-2003,tt0266543,12,73,G,https://walter-r2.trakt.tv/images/movies/000/000/008/posters/thumb/da25391579.jpg.webp
Peter Pan's Neverland Nightmare,2025,820687,peter-pan-s-neverland-nightmare-2025,tt21955520,1020414,73,NR,https://walter-r2.trakt.tv/images/movies/000/820/687/posters/thumb/31eba480c2.jpg.webp
Harry Potter and the Goblet of Fire,2005,548,harry-potter-and-the-goblet-of-fire-2005,tt0330373,674,72,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/548/posters/thumb/7b99ee4b12.jpg.webp
Pirates of the Caribbean: The Curse of the Black Pearl,2003,18,pirates-of-the-caribbean-the-curse-of-the-black-pearl-2003,tt0325980,22,72,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/018/posters/thumb/b6d96d7441.jpg.webp
The Accountant,2016,203309,the-accountant-2016,tt2140479,302946,72,R,https://walter-r2.trakt.tv/images/movies/000/203/309/posters/thumb/c701994fc3.jpg.webp
Nosferatu,2024,808857,nosferatu-2024,tt5040012,426063,72,R,https://walter-r2.trakt.tv/images/movies/000/808/857/posters/thumb/b1fde04511.jpg.webp
The Lion King,1994,4242,the-lion-king-1994,tt0110357,8587,71,G,https://walter-r2.trakt.tv/images/movies/000/004/242/posters/thumb/746f279ac1.jpg.webp
The Substance,2024,748546,the-substance-2024,tt17526714,933260,71,R,https://walter-r2.trakt.tv/images/movies/000/748/546/posters/thumb/a81516309e.jpg.webp
Despicable Me 4,2024,367444,despicable-me-4-2024,tt7510222,519182,71,PG,https://walter-r2.trakt.tv/images/movies/000/367/444/posters/thumb/40eead7db6.jpg.webp
Kill Tony: Kill or Be Killed,2025,1190378,kill-tony-kill-or-be-killed-2025,tt36383424,1453677,71,R,https://walter-r2.trakt.tv/images/movies/001/190/378/posters/thumb/44389e3803.jpg.webp
Fog of War,2025,916704,fog-of-war-2025,tt27829165,1138621,70,N/A,https://walter-r2.trakt.tv/images/movies/000/916/704/posters/thumb/70edfbb4b2.jpg.webp
Paddington in Peru,2024,365073,paddington-in-peru-2024,tt5822536,516729,68,PG,https://walter-r2.trakt.tv/images/movies/000/365/073/posters/thumb/d6f6e60578.jpg.webp
The World Will Tremble,2025,1161551,the-world-will-tremble-2025,tt26595906,1419826,68,N/A,https://walter-r2.trakt.tv/images/movies/001/161/551/posters/thumb/38f4ab4fdc.jpg.webp
